comando,fase_origen,fase_destino,patron
flashrom,3,4,Lectura y escritura de memorias flash
openocd,3,4,Depuracion de hardware embebido
avrdude,3,4,Programacion de microcontroladores AVR
esptool,3,4,Herramienta para chips ESP
jtagulator,1,2,Identificacion de puertos JTAG
ubertooth-util,1,2,Captura de trafico Bluetooth
bluing,1,2,Reconocimiento Bluetooth
crackle,3,4,Cracking de cifrado BLE
btlejack,3,4,Sniffing y ataques BLE
rfcat,1,2,Herramienta de radio frecuencia
hackrf,1,2,SDR para analisis de RF
gqrx,1,2,Receptor SDR
gnuradio,1,2,Framework de procesado de senales
universal-radio-hacker,3,4,Analisis de protocolos RF
redis-cli,2,3,Explotacion de Redis
redis-rogue-server,2,3,Servidor Redis malicioso
elasticdump,3,4,Volcado de datos Elasticsearch
mongodump,3,4,Volcado de base de datos MongoDB
mongorestore,3,4,Restauracion MongoDB
cqlsh,2,3,Shell Cassandra
neo4j-shell,2,3,Shell Neo4j
sqsh,2,3,Cliente Sybase/MSSQL
pgcli,2,3,Cliente PostgreSQL avanzado
mycli,2,3,Cliente MySQL avanzado
mssqlclient,2,3,Cliente MSSQL interactivo
sqlcmd,2,3,Cliente MSSQL Microsoft
osql,2,3,Cliente MSSQL antiguo
oraclesql,2,3,Cliente Oracle SQL
ms17-010,2,3,Exploit EternalBlue SMB
eternalblue,2,3,Exploit NSA SMB
doublepulsar,2,3,Backdoor NSA
bluekeep,2,3,Exploit RDP CVE-2019-0708
printnightmare,3,4,Escalada via spooler de impresion
log4shell,2,3,Exploit Log4j RCE
spring4shell,2,3,Exploit Spring Framework RCE
shellshock,2,3,Exploit Bash CVE-2014-6271
heartbleed,3,4,Lectura de memoria OpenSSL
dirtycow,3,4,Escalada de privilegios Linux kernel
dirtypipe,3,4,Escalada de privilegios Linux kernel
polkit,3,4,Escalada de privilegios via polkit
pwnkit,3,4,Escalada de privilegios pkexec
sudo-brute,2,3,Fuerza bruta sudo
logrotate-exploit,3,4,Escalada via logrotate
cron-exploit,3,4,Escalada via cronjobs
path-hijacking,3,4,Hijacking de PATH para escalada
suid-exploit,3,4,Explotacion de binarios SUID
wildcard-injection,3,4,Inyeccion de wildcards
cap-exploit,3,4,Explotacion de Linux capabilities
nfs-exploit,3,4,Explotacion de NFS mal configurado
docker-escape,3,4,Escape de contenedor Docker
lxd-exploit,3,4,Escape via LXD
lxc-exploit,3,4,Escape via LXC
msiexec,3,4,Ejecucion via MSI Windows
regsvcs,3,4,Bypass AppLocker regsvcs
regasm,3,4,Bypass AppLocker regasm
installutil,3,4,Bypass AppLocker installutil
wuauclt,3,4,Proxy de ejecucion Windows Update
ftp,4,5,Transferencia de archivos FTP
tftp,4,5,Transferencia de archivos TFTP
makecab,4,5,Compresion y exfiltracion Windows
extrac32,4,5,Extraccion de archivos Windows
expand,4,5,Expansion de archivos Windows
esentutl,3,4,Copia de archivos bloqueados Windows
robocopy,4,5,Copia robusta de archivos Windows
xcopy,4,5,Copia de archivos Windows
replace,4,5,Reemplazo de archivos Windows
debug,4,5,Escritura de binarios via debug.exe
thefatrat,4,5,Generador de payloads con evasion
unicorn,4,5,Magic Unicorn PowerShell payload
psbypassclm,4,5,Bypass de Constrained Language Mode
revokobf,4,5,Ofuscacion de PowerShell reverso
invoke-obfuscation,4,5,Ofuscacion de comandos PowerShell
amsibypass,4,5,Bypass de AMSI
amsi-bypass,4,5,Evasion de AMSI Windows
scarecrow,4,5,Evasion de EDR con cargadores
donut,4,5,Conversion de payloads a shellcode
sgn,4,5,Codificacion de shellcode SGN
pe-bear,3,4,Analisis de ejecutables PE
pesieve,3,4,Deteccion de inyeccion en procesos
moneta,3,4,Escaner de anomalias en memoria
patriot,3,4,Deteccion de tecnicas de evasion
hollows-hunter,3,4,Deteccion de vaciado de procesos
nps,4,5,Servidor proxy reverso NPS
frp,4,5,Proxy reverso rapido en Go
rathole,4,5,Tunel TCP y UDP inverso
gost,4,5,Tunel de red multipropocolo Go
reGeorg,4,5,Tunel webshell HTTP
neo-regeorg,4,5,Tunel webshell HTTP mejorado
tunna,4,5,Encapsulado de conexiones sobre HTTP
pivotnacci,4,5,Pivoting sobre sesiones HTTP
rpivot,4,5,Proxy SOCKS reverso
microsocks,4,5,Proxy SOCKS5 minimalista
pwnat,4,5,Tunel NAT sin configuracion
stunnel,4,5,Tunel SSL
stunnel4,4,5,Tunel SSL v4
haproxy,4,5,Proxy y balanceador de carga
gsocket,4,5,Shell cifrada global anonima
revsocks,4,5,SOCKS5 reverso
socks5-server,4,5,Servidor SOCKS5 para pivoting
dns-shell,4,5,Shell sobre consultas DNS
icmp-shell,4,5,Shell sobre paquetes ICMP
http-shell,4,5,Shell sobre peticiones HTTP
pyc2,4,5,C2 ligero en Python
nimplant,4,5,Implante C2 en Nim
shad0w,4,5,Framework C2 modular
villain,4,5,Framework de shells reversas
hoaxshell,4,5,Shell inversa sobre HTTP
hackbrowserdata,3,4,Extraccion de datos de navegadores
lazagne,3,4,Recuperacion de contrasenas almacenadas
mimipenguin,3,4,Volcado de credenciales Linux
swap_digger,3,4,Extraccion de datos del archivo swap
linikatz,3,4,Mimikatz para Linux
hindsight,3,4,Analisis forense de Chrome
dumpzilla,3,4,Extraccion de datos Firefox
firepwd,3,4,Descifrado de contrasenas Firefox
chromepass,3,4,Extraccion de contrasenas Chrome
webbrowserpassview,3,4,Extraccion de contrasenas de navegadores
mailpv,3,4,Extraccion de contrasenas de correo
netpass,3,4,Extraccion de credenciales de red Windows
wirelesskeyview,3,4,Extraccion de claves WiFi
credentialsfileview,3,4,Extraccion de credenciales Windows
vaultpasswordview,3,4,Extraccion del vault de Windows
keyfinder,3,4,Busqueda de claves de cifrado en memoria
sessiongopher,3,4,Extraccion de sesiones guardadas
seatbelt,3,4,Auditoria de configuracion Windows
sharpup,3,4,Escalada de privilegios .NET
sharpwmi,1,2,Enumeracion WMI en .NET
sharphound,1,2,Recoleccion de datos AD para BloodHound
sharpview,1,2,Port .NET de PowerView
sharpappslocker,1,2,Enumeracion de AppLocker
sharpdpapi,3,4,Extraccion de secretos DPAPI en .NET
sharpdump,3,4,Volcado de procesos en .NET
sharpchrome,3,4,Extraccion de datos Chrome en .NET
sharpclipboard,3,4,Monitoreo del portapapeles
sharpexfiltrate,4,5,Exfiltracion de datos en .NET
rubeus,2,3,Ataques Kerberos en .NET
certify,1,2,Enumeracion de AD CS en .NET
certipy,2,3,Ataques a servicios de certificados AD
ldeep,1,2,Enumeracion LDAP
windapsearch,1,2,Busqueda LDAP en AD
adalanche,1,2,Analisis de rutas de ataque AD
plumhound,1,2,Analisis de BloodHound automatizado
cypheroth,1,2,Consultas BloodHound automatizadas
goddi,1,2,Volcado de informacion de dominio
cme,2,3,CrackMapExec alias
evil-winrm,2,3,Shell WinRM Ruby
powercat,4,5,Netcat en PowerShell
nishang,3,4,Scripts ofensivos PowerShell
invokepowershellremoting,4,5,Shell remota PowerShell
powerspraying,2,3,Password spraying PowerShell
dementor,2,3,Coercion de autenticacion
printerbug,2,3,Coercion via spooler
petitpotam,2,3,Coercion NTLM via MS-EFSR
coercer,2,3,Herramienta de coercion NTLM
ntlmrelayx,2,3,Relay de credenciales NTLM
multirelay,2,3,Relay multiple NTLM
lnkbomb,2,3,Phishing con archivos LNK
hashgrab,3,4,Captura de hashes NTLM
internal-monologue,3,4,Extraccion de hashes sin volcado
nanodump,3,4,Volcado sigiloso de LSASS
handlekatz,3,4,Volcado LSASS via handles duplicados
procdump,3,4,Volcado de procesos Sysinternals
minidump,3,4,Volcado minidump de LSASS
outflank-lsass,3,4,Volcado sigiloso de LSASS
silverfort,3,4,Extraccion de credenciales silverfort
meg,0,1,Peticiones HTTP masivas a rutas
unfurl,0,1,Analisis y descomposicion de URLs
qsreplace,1,2,Manipulacion de parametros GET
anew,0,1,Agregacion de nuevas lineas
httpmethods,1,2,Comprobacion de metodos HTTP
cors-scanner,1,2,Deteccion de misconfiguraciones CORS
corsy,1,2,Escaner CORS
ssrf-sheriff,2,3,Deteccion de SSRF
gopherus,2,3,Generacion de payloads SSRF Gopher
smuggler,2,3,Deteccion de HTTP Request Smuggling
h2csmuggler,2,3,Smuggling via HTTP/2
bp-smuggler,2,3,Deteccion de smuggling Burp
403bypasser,1,2,Bypass de respuestas 403
nomore403,1,2,Bypass de restricciones 403
byp4xx,1,2,Bypass de codigos 4xx
jwt-tool,2,3,Manipulacion y ataque de JWT
jwt-cracker,3,4,Cracking de secretos JWT
jwt-hack,2,3,Framework de ataques JWT
graphql-cop,1,2,Auditoria de seguridad GraphQL
clairvoyance,1,2,Descubrimiento de esquemas GraphQL
batchql,2,3,Ataques de batching GraphQL
inql,1,2,Scanner GraphQL para Burp
webshell,2,3,Subida y ejecucion de webshell
weevely,2,3,Webshell PHP avanzada
laudanum,2,3,Coleccion de webshells
b374k,2,3,Webshell PHP
c99,2,3,Webshell PHP clasica
r57,2,3,Webshell PHP clasica
p0wny-shell,2,3,Webshell PHP minimalista
goshell,2,3,Webshell en Go
ashx-shell,2,3,Webshell ASP.NET
aspx-shell,2,3,Webshell ASPX
jsp-shell,2,3,Webshell JSP
cfm-shell,2,3,Webshell ColdFusion
perl-shell,2,3,Webshell Perl
py-shell,2,3,Webshell Python
sh-shell,2,3,Webshell shell script
php-reverse-shell,2,3,Reverse shell PHP
pentestmonkey,2,3,Scripts de reverse shells
msf-web-delivery,2,3,Entrega de payload web Metasploit
postenum,3,4,Enumeracion post-explotacion Linux
uptux,3,4,Escalada de privilegios en Linux
traitor,3,4,Explotacion automatica de privilegios Linux
pwncat,4,5,Framework de post-explotacion interactivo
gtfo,3,4,Explotacion de binarios GTFOBins
gtfobins,3,4,Referencia de binarios Linux explotables
lolbas,3,4,Referencia de binarios Windows explotables
filescan,3,4,Busqueda de archivos sensibles
linspy,3,4,Espionaje de procesos Linux
unhide,3,4,Deteccion de procesos ocultos
chkrootkit,3,4,Deteccion de rootkits
rkhunter,3,4,Deteccion de rootkits
unhide-tcp,3,4,Deteccion de puertos ocultos
unhide-linux,3,4,Deteccion de procesos ocultos Linux
flame,4,5,Malware de espionaje avanzado APT
duqu,4,5,Malware de espionaje APT
stuxnet,4,5,Malware industrial APT
regin,4,5,Framework de espionaje APT
turla,4,5,Framework APT ruso
